철도_id,출발시간,도착시간,출발정류장,도착정류장
52,08:49:00,08:53:00,마산,장기
52,08:53:00,08:55:00,장기,운양
52,08:55:00,09:00:00,운양,걸포북변
52,09:00:00,09:02:00,걸포북변,사우
52,09:02:00,09:05:00,사우,풍무
52,09:05:00,09:09:00,풍무,고촌
52,09:09:00,09:16:00,고촌,김포공항
53,08:48:00,08:51:00,양촌,구래
53,08:51:00,08:54:00,구래,마산
53,08:54:00,08:58:00,마산,장기
53,08:58:00,09:00:00,장기,운양
53,09:00:00,09:05:00,운양,걸포북변
53,09:05:00,09:07:00,걸포북변,사우
53,09:07:00,09:10:00,사우,풍무
53,09:10:00,09:14:00,풍무,고촌
53,09:14:00,09:21:00,고촌,김포공항
54,08:54:00,08:57:00,양촌,구래
54,08:57:00,09:00:00,구래,마산
54,09:00:00,09:04:00,마산,장기
54,09:04:00,09:06:00,장기,운양
54,09:06:00,09:11:00,운양,걸포북변
