철도_id,출발시간,도착시간,출발정류장,도착정류장
220,00:05:00,00:09:00,풍무,고촌
220,00:09:00,00:16:00,고촌,김포공항
221,23:53:00,23:56:00,양촌,구래
221,23:56:00,23:59:00,구래,마산
221,23:59:00,00:03:00,마산,장기
221,00:03:00,00:05:00,장기,운양
221,00:05:00,00:09:00,운양,걸포북변
221,00:09:00,00:12:00,걸포북변,사우
221,00:12:00,00:15:00,사우,풍무
221,00:15:00,00:19:00,풍무,고촌
221,00:19:00,00:26:00,고촌,김포공항
222,00:04:00,00:07:00,양촌,구래
222,00:07:00,00:10:00,구래,마산
222,00:10:00,00:14:00,마산,장기
222,00:14:00,00:16:00,장기,운양
222,00:16:00,00:20:00,운양,걸포북변
222,00:20:00,00:23:00,걸포북변,사우
222,00:23:00,00:26:00,사우,풍무
222,00:26:00,00:30:00,풍무,고촌
222,00:30:00,00:37:00,고촌,김포공항
223,00:15:00,00:18:00,양촌,구래
223,00:18:00,00:21:00,구래,마산
223,00:21:00,00:25:00,마산,장기
223,00:25:00,00:27:00,장기,운양
223,00:27:00,00:31:00,운양,걸포북변
223,00:31:00,00:34:00,걸포북변,사우
223,00:34:00,00:37:00,사우,풍무
223,00:37:00,00:41:00,풍무,고촌
223,00:41:00,00:48:00,고촌,김포공항
224,00:26:00,00:29:00,양촌,구래
224,00:29:00,00:32:00,구래,마산
224,00:32:00,00:36:00,마산,장기
224,00:36:00,00:38:00,장기,운양
224,00:38:00,00:42:00,운양,걸포북변
224,00:42:00,00:45:00,걸포북변,사우
224,00:45:00,00:48:00,사우,풍무
224,00:48:00,00:52:00,풍무,고촌
224,00:52:00,00:59:00,고촌,김포공항
